,Page,Members,Message,Date,Interactions,hrefs
58,Ag-West Bio,"2,352 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 #science #vaccines #SciComm #COVID19","May 14, 2020",1,https://twitter.com/agwestbio/status/1260946795598770178
59,Sarah Everts,"2,037 Followers",Antivax movement & Covid-19 “An extrapolation of current trends using computer simulations suggests that anti-vaccination views might dominate the network within ten years.” https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",1,https://twitter.com/saraheverts/status/1260906080542117889
60,Ilaria Carlomagno,85 Followers,"On #vaccines, #antivaxxers, and #communication: anti-#vaccine campaigners win converts with personalized, emotive messages not only on fear (“Vaccines will kill you”), but on appeals to the heart (“Do you love your children?”): https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/Ilaria_212/status/1260900596367974400
61,I. Gonzalez-Cabrera,185 Followers,"The basic reproductive number of SARS-CoV-2 seems in the range of 2-6. Assuming an estimate of 3, the herd immunity threshold for the virus would be approximately 67%. An anti-vaccination movement could undermine efforts to establish herd immunity. https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/idgonzalezc/status/1260847224579375104
62,Oden,"7,017 Followers","Anti-vaccine movement could undermine efforts to end #coronavirus #pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/Gjallarhornet/status/1260835269974134784
63,Roger Highfield,"17,650 Followers","There's a huge effort under way to develop a #COVID19 vaccine: https://www.sciencemuseumgroup.org.uk/blog/ending-the-pandemic/ But the unhinged anti-vaccine movement could undermine these efforts to end the #coronavirus pandemic, reports @philipcball https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/RogerHighfield/status/1260826890488741888
64,Kazu. Ogata,"1,579 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn 反ワクチン運動はコロナウイルスのパンデミックを終わらせることに悪影響を及ぼす可能性 https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/ogataKCHGIM/status/1260824748851785728
65,Kristof Decoster,"4,191 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/KristofDecoste1/status/1260808936678195201
66,Jogonoli,516 Followers,"Anti-Vaccine Movement Could Prolong Coronavirus Pandemic, Researchers Warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/jogonoli/status/1260789442635276288
67,.,348 Followers,https://www.nature.com/articles/d41586-020-01423-4,"May 14, 2020",1,https://twitter.com/snufkinlife/status/1260736218100142085
68,高等ムーミン,696 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 14, 2020",1,https://twitter.com/NobuKoba1988/status/1260735967029149696
69,Chinmay Hemant Joshi,326 Followers,"Anti-vax morons often say my body my choice. Well, if you want your children to actually exert that choice in their future (or actually have a future), you must vaccinate them. Somethings, cannot and should not be made as choice, but as mandatory. https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1,https://twitter.com/naturalist_chj/status/1260666453671309313
70,Red Interdisciplinaria de Epig...,649 Followers,"Y luego que por que reaparecen #enfermedades? #Antivacunas #Vacunas Anti-vaccine movement could prolong coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1,https://twitter.com/Epigenomica_mx/status/1260593260969549827
71,Nidhi Subbaraman,"7,788 Followers","The antivaxx movement could prolong the coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 13, 2020",1,https://twitter.com/NidhiSubs/status/1260592188678864896
72,TheDudeSeesAll,"1,581 Followers",https://www.nature.com/articles/d41586-020-01423-4,"May 19, 2020",0,https://twitter.com/TheDudeSeesAll/status/1262543328458858497
73,The Lone Beader®,"3,771 Followers","Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 18, 2020",0,https://twitter.com/thelonebeader/status/1262384948532645897
74,Laura,158 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 18, 2020",0,https://twitter.com/lola_11_13/status/1262372893759016961
75,Hendrik Bruns,263 Followers,"Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4 #covid #coronavirus","May 18, 2020",0,https://twitter.com/HendirkB/status/1262294318318063618
76,Linda Settle,66 Followers,"Maybe the pro-vaccine can't stomach Facebook but we need to get over it? Anti-vaccine movement could undermine efforts to end coronavirus pandemic, researchers warn https://www.nature.com/articles/d41586-020-01423-4","May 17, 2020",0,https://twitter.com/lleels/status/1262083972047265793
77,Lutz Golsch,362 Followers,New US study: Anti-vaccine movement is far more efficient in getting messages to “undecideds” and generates bigger reach in these audiences on social media than science-based pro-vaccine voices. Important for messaging and campaigns around #COVID19 https://www.nature.com/articles/d41586-020-01423-4,"May 17, 2020",0,https://twitter.com/LutzGolsch/status/1261970056755531776
