fb_uid	label_vax	name	category	fan_count	is_unclaimed	verification_status	link	posts.data.created_time	location.city	location.street	location.country	location.longitude	location.latitude	location.located_in	location.state	location.zip	concat.geography	capture_timestamp
138433546249409	Pro Vaccination	International Pediatric Association	Pediatrician	9263	FALSE	not_verified	https://www.facebook.com/InternationalPediatricAssociation/	2019-09-28T06:36:31Z	Webster Groves	418 Webster Forest drive Webster Groves, Mo	United States	-90.36994	38.5723	NA	MO	63119	NA	2019-10-01T00:03:19Z
1032463480154319	Pro Vaccination	Immunize Texas	Community	2972	FALSE	not_verified	https://www.facebook.com/immunizetexas/	2019-09-24T14:53:36Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:04:00Z
119618774740107	Pro Vaccination	San Francisco Immunization Coalition	Community Organization	466	FALSE	not_verified	https://www.facebook.com/immunizesf/	2019-09-25T04:06:33Z	San Francisco	NA	United States	-122.4185	37.77849	NA	CA	94109	NA	2019-10-01T00:04:41Z
100902520064748	Pro Vaccination	Vaccine Network for disease control	Non-Governmental Organization (NGO)	734	FALSE	not_verified	https://www.facebook.com/VaccineNetworkForDiseaseControl/	2019-07-15T12:30:08Z	Wuye District, Abuja.	Plot 1032 Anthony A. Ani Road, Opposite Finance Quarters	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:05:22Z
1018375844864139	Pro Vaccination	Vaccinate Alabama	Community	396	FALSE	not_verified	https://www.facebook.com/VaccinateAlabama/	2019-09-25T22:23:35Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:06:03Z
10288724013	Pro Vaccination	IAVI	Nonprofit Organization	20616	FALSE	not_verified	https://www.facebook.com/AIDSvaccine/	2019-09-30T21:00:33Z	New York	125 Broad Street	United States	-74.01105	40.70205	NA	NY	10004	NA	2019-10-01T00:06:44Z
1122801304448201	Pro Vaccination	The importance of vaccination	Community	233	FALSE	not_verified	https://www.facebook.com/The-importance-of-vaccination-1122801304448201/	2017-01-17T05:30:32Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:07:25Z
114338185568335	Pro Vaccination	MOOC Vaccinology	Education	2809	FALSE	not_verified	https://www.facebook.com/MOOCvaccinology/	2017-05-16T12:57:42Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:08:06Z
125879120944528	Pro Vaccination	Protecting Children and Communities through Vaccination - Global Network	Community	5150	FALSE	not_verified	https://www.facebook.com/PCCVGN/	2019-03-07T00:04:10Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:08:47Z
127956330574388	Pro Vaccination	Autism isn't fatal. Not vaccinating your child might be.	Community	890	FALSE	not_verified	https://www.facebook.com/Autism-isnt-fatal-Not-vaccinating-your-child-might-be-127956330574388/	2019-08-15T03:42:34Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:09:28Z
130049877091416	Pro Vaccination	Vaccines Save Lives	Community	152	FALSE	not_verified	https://www.facebook.com/Vaccines-Save-Lives-130049877091416/	2013-07-18T07:07:04Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:10:09Z
131177980406298	Pro Vaccination	"Mother""s Choice Child Clinic & Vaccine Center"	Medical Company	908	FALSE	not_verified	https://www.facebook.com/MothersChoiceChildClinicVaccineCenter/	2018-08-15T05:32:40Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:10:50Z
1385885588327200	Pro Vaccination	Rete Informazione Vaccini - RIV	Community	23645	FALSE	not_verified	https://www.facebook.com/reteinformazionevaccini/	2019-09-29T07:33:52Z	NA	NA	NA	13.35938	40.44695	NA	NA	NA	NA	2019-10-01T00:11:31Z
142642355753567	Pro Vaccination	International Vaccine Access Center	Medical Lab	335	FALSE	not_verified	https://www.facebook.com/vaccineaccess/	2018-08-14T15:40:01Z	Baltimore	415 N Washington St	United States	-76.58913	39.29575	NA	MD	21231	NA	2019-10-01T00:12:12Z
143367983587	Pro Vaccination	Stop the Australian (Anti)Vaccination Network	Medical Company	17548	FALSE	not_verified	https://www.facebook.com/stopavn/	2019-09-18T23:30:10Z	NA	NA	NA	145.5469	-31.35364	NA	NA	NA	NA	2019-10-01T00:12:53Z
144023769075631	Pro Vaccination	Informed Citizens Against Vaccination Misinformation	Community	777	FALSE	not_verified	https://www.facebook.com/InformedCitizensAgainstVaccinationMisinformation/	2016-02-03T09:19:39Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:13:34Z
1446519138951000	Pro Vaccination	RAGE Against The Vaccine Denialists	Community	789	FALSE	not_verified	https://www.facebook.com/RATVD/	2017-04-01T21:19:12Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:14:15Z
148150648573922	Pro Vaccination	VaccinarSI	Health & Wellness Website	19260	FALSE	not_verified	https://www.facebook.com/VaccinarSI.Vaccinfo/	2019-09-27T07:31:43Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:14:56Z
1485842791672025	Pro Vaccination	Servizio Vaccinale Ulss Bassano	Doctor	343	FALSE	not_verified	https://www.facebook.com/serviziovaccinaleulssbassano/	2019-09-30T11:38:27Z	Bassano del Grappa	via Cereria, 15	Italy	11.74004	45.75693	NA	NA	36061	NA	2019-10-01T00:15:37Z
150057145203234	Pro Vaccination	Northern Rivers Vaccination Supporters	Community	6788	FALSE	not_verified	https://www.facebook.com/NRVaxSupporters/	2019-09-30T11:55:25Z	NA	NA	NA	NA	NA	NA	NA	NA	NA	2019-10-01T00:16:18Z
