,Page,Members,Message,Date,Interactions
80,memeorandum,"10,816 Followers",Get Ready for a Vaccine Information War (@kevinroose / New York Times) https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html http://www.memeorandum.com/200513/p106#a200513p106,"May 13, 2020",0
81,Scooter,129 Followers,#antivax #antivaxx #antivaxer #vaccinesArePoison #vaccine #vaccines #VaccinesWork #COVID19 #COVID19US #Covid19usa #Covid_19 #BernieWouldHaveWon #BernieSanders #Bernie2020 #BernieSanders2020 #FeelTheBern #ImpeachTrump #ImpeachTrumpNow #ImpeachTrumpPence https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
82,Sous,35 Followers,Why is this even an issue :( https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
83,Abrar Awan,116 Followers,Get Ready for a Vaccine Information War #COVIDー19 #coronavacccine #CoronavirusPandemic @nytimes https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
84,josh,79 Followers,Related: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
85,Marie-José Klaver,"1,482 Followers","Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists","May 13, 2020",0
86,Andy Kantor,65 Followers,"If the anti-vaxxers refuse to take a vetted COVID-19 vaccination, let them. It will shorten the line for me to get it. And it might finally teach the anti-vaxxers to respect science, not myths. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",0
87,MEG,"1,457 Followers",All of this. #VaccinesWork. Vaccine advocates (incl myself) thought it was about education only; antivaxxers made it a crusade. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/vSO4KcEVRp,"May 13, 2020",0
88,Sattar Ahmad Khokher,19 Followers,Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",0
89,Asa Oliviér Martin,9 Followers,"Darwin, natural selection, etc. - ""What if we get a Covid-19 vaccine and half the country refuses to take it?"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",0
90,Lili Sachar,84 Followers,Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",0
91,Aminah,133 Followers,Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",0
92,Dirk Strauss,"1,301 Followers",Get Ready for a Covid-19 Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
93,Daniel,440 Followers,https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
94,Eugene Peterson,,Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",0
95,Yildiz Tugce Erduran 🧬⚖️,274 Followers,Aşı karşıtları cephaneyi topladı diyor yani 🤦🏼‍♀️🤦🏼‍♀️ https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
96,Patrick,243 Followers,Get Ready for a Covid-19 Vaccine Information War https://nyti.ms/3fHurXQ,"May 13, 2020",0
97,marky mark,2 Followers,Next up on the Covid-19 Pandemic Agenda — battle against the naysayers in accepting a vaccine. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
98,Kenn Bur 🇨🇦,650 Followers,Get Ready for a Covid-19 Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
99,The Center on Misinformation,,Vaccine misinformation is rampant on social media. We are here to fight it. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
100,Paula McEneaney,180 Followers,Get Ready for a Covid-19 Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",0
101,RGoldmann™🇪🇺🇭🇰🏴󠁧󠁢󠁳󠁣󠁴...,626 Followers,Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",0
102,Vincent Downing,30 Followers,Get Ready for a Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",0
103,UnknownQuantity,"20,588 Followers","Get Ready for a Covid-19 Vaccine Information War Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. https://nyti.ms/3fKbHXz","May 13, 2020",0
