,Page,Members,Message,Date,Interactions
97,BadScienceWatch,"3,182 Followers","""Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",4
98,Liz Szabo,"66,231 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4
99,The Raven of Wroclaw,"1,604 Followers",yes ok a pro vaccine movement but also? unless you have proof of vaccination and regular titer tests (assuming both exist and are good) you can't work you can't take part in public life this is one of the few occasions in which I am pro-jackboot ok https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?,"May 13, 2020",4
100,Miguel Ortiz,542 Followers,Get Ready for a Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",4
101,"Jessica Malaty Rivera, MS","1,463 Followers","“We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents. We need to do it quickly..” #VaccinesWork https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",4
102,Asher Huey,"6,985 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4
103,Mary Ann Barbero,"6,778 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4
104,John Ryerson,"2,732 Followers",Get Ready for a Vaccine Information War #Twitter #Facebook need to shut down anti vaxxer #disinformation and we need to not give them air as if it is a viablle balanced story #cdnmedia #cdnpoli https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4
105,Herb Scribner,"5,970 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",3
106,Catherine D. Tan,330 Followers,"In the immediate, we will need stringent vaccination requirements & collective effort from social media platforms to quash misinformation. Long term, how do we nurture public trust in expertise? #antivaccination #antivaxx #pandemic #vaccines https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=fb-share","May 14, 2020",3
107,Steve Metz,"10,850 Followers",Improving the gene pool through natural selection. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",3
108,Charlie Hancock,"2,201 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",3
