,Page,Members,Message,Date,Interactions,hrefs
120,Giovanni Bernardini,"2,698 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",5,https://twitter.com/GioB1974/status/1260717141994676229
121,Stephanie Gaglione,13 Followers,Lived with an anti-vaxxer once upon a time - this hits home :( Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",5,https://twitter.com/Steph_Gaglione/status/1260699707153747969
122,Silvia Cobo,"13,262 Followers","“Researchers found that Facebook pages pushing accurate pro-vaccine information were mostly clustered in an insular group, while the anti-vaccine pages treated vaccine resistance as a kind of political campaign, and used different messages to reach voters” https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",5,https://twitter.com/silviacobo/status/1260689922626895873
123,Joel Pavelski,"11,615 Followers","What if we develop a successful Covid-19 vaccine and a huge chunk of the population, pumped full of misinformation by Facebook and Fox News, just...refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",5,https://twitter.com/joelcifer/status/1260673660341403650
124,"Jessica Malaty Rivera, MS","1,476 Followers","“We need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents. We need to do it quickly..” #VaccinesWork https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",5,https://twitter.com/jessicamalaty/status/1260620343535759360
125,"Ani Shakarishvili,MD","5,288 Followers","Get Ready for a #Vaccine Information War: #Socialmedia is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists #coronavirus #vaccination #antivax https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html v @nytimes HT @picardonhealth","May 13, 2020",5,https://twitter.com/AniShakari/status/1260619557263343619
126,Andrew M. Lindner,"1,342 Followers","Look, I'll stay in my house as long as you want. Just don't bring this anti-vax, anti-science, YouTube conspiracy theory bullshit into my feed. Good piece in the NYT on this particular brand idiocy: https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html https://t.co/rJtppK8K7V","May 13, 2020",5,https://twitter.com/lindno/status/1260598031109554178
127,Eric Klinenberg,"15,488 Followers","""What if we get a Covid-19 vaccine and half the country refuses to take it?"" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share","May 13, 2020",5,https://twitter.com/EricKlinenberg/status/1260592402017984514
128,Leila,"2,579 Followers",https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 15, 2020",4,https://twitter.com/LeiNilipour/status/1261322307391434759
129,Shaun on the lights,900 Followers,"'To recover from this pandemic, we need to mobilize a pro-vaccine movement that is as devoted, as internet-savvy and as compelling as the anti-vaccine movement is for its adherents.' https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 15, 2020",4,https://twitter.com/shaunvitamins/status/1261272303276634114
130,Nathan Walz,"2,056 Followers",Projection and misinformation at its finest https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 15, 2020",4,https://twitter.com/walzstreet/status/1261269114972254211
131,Terry Zimmer,"2,439 Followers",Covid-19: Préparez-vous à une guerre de l'information sur les vaccins https://buff.ly/2WqNgHc https://t.co/4Ne0H3MSPu,"May 15, 2020",4,https://twitter.com/terryzim/status/1261259715893514241
132,juan diego montalva.,"3,266 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 15, 2020",4,https://twitter.com/jdmontalva/status/1261256063497666560
133,Charles Mok 莫乃光,"27,130 Followers","Get Ready for a Vaccine Information War Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 15, 2020",4,https://twitter.com/charlesmok/status/1261114683341156352
134,kayla Mulliniks,209 Followers,This is why I started working out again https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",4,https://twitter.com/kaylamulliniks_/status/1261025086221492224
135,WHMG,856 Followers,OK.... https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",4,https://twitter.com/WHReporters/status/1261018169293942784
136,The Joker🇵🇱🇨🇦 #WWG1WGA,"1,478 Followers",Czy rzeczywiscie polowa Amerykanow odmowi szczepionki i jak bedzie rola armii w szczepieniu? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",4,https://twitter.com/xpilgrim06/status/1261009055394312192
137,Lars Zimmermann,"5,019 Followers",What if we get a Covid-19 vaccine and half the country refuses to take it? https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",4,https://twitter.com/larszimmerm/status/1260986344551129096
138,Filip Struhárik,"5,309 Followers","""To recover from this pandemic, we need to mobilize a pro-vaccine movement (..) We need to do it quickly, with all the creativity and urgency of the scientists who are developing the vaccine itself."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 14, 2020",4,https://twitter.com/filip_struharik/status/1260940475705540614
139,Richard Carmody @🏠,126 Followers,@JustinWolfers Or vaccine? They are lining up. https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",4,https://twitter.com/RichardPCarmody/status/1260930980761735168
140,Herb Scribner,"5,958 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 14, 2020",4,https://twitter.com/HerbScribner/status/1260918553215041536
141,Charu Kaushic,669 Followers,Get Ready for a Covid-19 Vaccine Information War - The New York Times https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",4,https://twitter.com/CKaushic/status/1260895632144904194
142,spaceship,"1,150 Followers",access to vaccine and the misinformation at the hands of anti-vaxxers might be the next big problem awaiting at the end of the tunnel https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 14, 2020",4,https://twitter.com/spaceshipIII/status/1260778814138920969
143,"𝙅𝙚𝙨𝙪𝙨 𝘼𝙣𝙖𝙢𝙥𝙖 𝙈.𝘿,...","4,567 Followers","Get Ready for a Vaccine Information War Social media is already filling up with misinformation about a #Covid19 vaccine, months or years before one even exists What if we get a Covid-19 vaccine and half the country- or world- refuses to take it? @nytimes https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html#click=https://t.co/RksS78RYRD","May 13, 2020",4,https://twitter.com/jesusanampa/status/1260701015667605505
144,BadScienceWatch,"3,181 Followers","""Social media is already filling up with misinformation about a Covid-19 vaccine, months or years before one even exists."" https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html","May 13, 2020",4,https://twitter.com/BadScienceWatch/status/1260695243722305542
145,Liz Szabo,"66,232 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4,https://twitter.com/LizSzabo/status/1260643136163975168
146,The Raven of Wroclaw,"1,610 Followers",yes ok a pro vaccine movement but also? unless you have proof of vaccination and regular titer tests (assuming both exist and are good) you can't work you can't take part in public life this is one of the few occasions in which I am pro-jackboot ok https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?,"May 13, 2020",4,https://twitter.com/RavenOfWroclaw/status/1260642687906127878
147,Miguel Ortiz,544 Followers,Get Ready for a Vaccine Information War https://nyti.ms/3fKbHXz,"May 13, 2020",4,https://twitter.com/miguelortizcst/status/1260626507564711939
148,Asher Huey,"6,988 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4,https://twitter.com/asherhuey/status/1260613305489600514
149,Mary Ann Barbero,"6,780 Followers",Get Ready for a Vaccine Information War https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4,https://twitter.com/marieann66/status/1260599781971447812
150,Yonatan Lupu,"1,307 Followers",More on this from NYT https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html,"May 13, 2020",4,https://twitter.com/yonatanlupu/status/1260593283581042690
151,John Ryerson,"2,737 Followers",Get Ready for a Vaccine Information War #Twitter #Facebook need to shut down anti vaxxer #disinformation and we need to not give them air as if it is a viablle balanced story #cdnmedia #cdnpoli https://www.nytimes.com/2020/05/13/technology/coronavirus-vaccine-disinformation.html?smid=tw-share,"May 13, 2020",4,https://twitter.com/jryerson1/status/1260588458193702918
